id,vectors,meta.case_id,meta.advocates,meta.win_side,meta.votes_side,year
22149,[],2001_01-584,"{'john_crabtree': {'side': 1, 'role': 'on behalf of the Petitioners'}, 'glen_d_nager': {'side': 0, 'role': 'Argued the cause for the respondents'}, 'alfred_w_blumrosen': {'side': 2, 'role': 'for the Academy of Florida Trial Lawyers as amicus curiae'}, 'ruth_g_blumrosen': {'side': 2, 'role': 'for the Academy of Florida Trial Lawyers as amicus curiae'}, 'archibald_j_thomas_iii': {'side': 2, 'role': 'for the Academy of Florida Trial Lawyers as amicus curiae'}, 'russell_s_bohn': {'side': 2, 'role': 'for the Academy of Florida Trial Lawyers as amicus curiae'}}",0,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 0, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 0, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 0}",2001
22721,[],2001_00-730,"{'william_perry_pendley': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'theodore_b_olson': {'side': 0, 'role': 'Argued the cause for the respondents'}, 'william_p_pendley': {'side': 3, 'role': 'inferred'}}",0,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 0, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 0, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 0}",2001
21448,[],2001_00-1214,"{'william_h_mills': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'william_h_pryor_jr': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'charles_fried': {'side': 2, 'role': 'on behalf of amicus curiae in opposition to the judgment below'}, 'steven_b_duke': {'side': 2, 'role': 'on behalf of the National Association of Criminal Defense Lawyers, as amicus curiae, supporting the Respondent'}, 'bill_pryor': {'side': 1, 'role': 'for petitioner'}, 'steven_duke': {'side': 2, 'role': 'argued the cause for the National Association of Criminal Defense Lawyers as amicus curiae urging affirmance'}}",0,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 0, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 0, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 0}",2001
22788,[],2001_00-1293,"{'ann_e_beeson': {'side': 0, 'role': 'Argued the cause for the respondents'}, 'theodore_b_olson': {'side': 1, 'role': 'Argued the cause for the petitioner'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
21372,[],2001_00-795,"{'paul_d_clement': {'side': 1, 'role': 'Department of Justice, argued the cause for the petitioners'}, 'h_louis_sirkin': {'side': 0, 'role': 'Argued the cause for the respondents'}, '': {'side': 1, 'role': 'argued the cause for petitioners'}}",0,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 0, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 0}",2001
23138,[],2001_00-8452,"{'james_w_ellis': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'pamela_a_rumpz': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'the_marshal': {'side': 3, 'role': 'inferred'}}",1,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22128,[],2001_01-682,"{'lawrence_s_robbins': {'side': 1, 'role': 'Argued the cause for the petitioners'}, 'scott_l_nelson': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'gregory_g_garre': {'side': 2, 'role': 'Argued the cause for the United States, as amicus curiae, supporting the petitioners'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22826,[],2001_00-1307,"{'paul_r_q_wolfson': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'john_r_woodrum': {'side': 0, 'role': 'Argued the cause for the respondents'}, 'peter_buscemi': {'side': 2, 'role': 'on behalf of the United Mine Workers Combined Benefit Fund, as amicus curiae'}, 'the_marshal': {'side': 3, 'role': 'inferred'}}",0,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 0, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 1}",2001
21464,[],2001_00-1937,"{'jeffrey_a_lamken': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'kathryn_l_pryor': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'the_marshal': {'side': 3, 'role': 'inferred'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22390,[],2001_01-518,"{'maurice_baskin': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'lawrence_g_wallace': {'side': 0, 'role': 'Argued the cause for the respondents'}, 'deputy_solicitor_general_wallace': {'side': 0, 'role': 'argued the cause for respondents'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
